"Cycle";"Block";"Population";"Treatment";"Plates_nbr";"Replicate";"Env";"Pop_type";"Sex_struct";"Day";"Total_assay";"Total_assay_2";"Tot_per_worm";"Fec_today";"Total_fec";"Herm_alive_today";"Herm_dead";"Herm_killed";"Male_alive_today";"Male_dead";"Male_killed";"Herm_alive_yesterday";"Male_alive_yesterday";"Fec_yesterday";"Herm_mortality";"Male_mortality";"Trt_3";"Trt_6";"Rep2"
4;"1";"A00_R2";"H";11;"G";"Ancestral";"Ancestral";"Androdioecious";"4";818;818;NA;30;90;3;0;0;0;0;0;3;0;30;40;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 G"
4;"1";"A00_R2";"H";11;"G";"Ancestral";"Ancestral";"Androdioecious";"5";818;818;NA;NA;NA;3;0;0;0;0;0;3;0;NA;40;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 G"
4;"1";"A00_R2";"H";11;"H";"Ancestral";"Ancestral";"Androdioecious";"3";1472;1472;NA;225,2;1126;5;0;0;0;0;0;5;0;225,2;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 H"
4;"1";"A00_R2";"H";11;"H";"Ancestral";"Ancestral";"Androdioecious";"4";1472;1472;NA;69,2;346;5;0;0;0;0;0;5;0;69,2;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 H"
4;"1";"A00_R2";"H";11;"H";"Ancestral";"Ancestral";"Androdioecious";"5";1472;1472;NA;NA;NA;4;0;0;0;0;0;5;0;NA;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 H"
4;"1";"A00_R2";"H";11;"I";"Ancestral";"Ancestral";"Androdioecious";"3";1578;1578;NA;228,8;1144;5;0;0;0;0;0;5;0;228,8;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 I"
4;"1";"A00_R2";"H";11;"I";"Ancestral";"Ancestral";"Androdioecious";"4";1578;1578;NA;86,8;434;5;0;0;0;0;0;5;0;86,8;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 I"
4;"1";"A00_R2";"H";11;"I";"Ancestral";"Ancestral";"Androdioecious";"5";1578;1578;NA;NA;NA;5;0;0;0;0;0;5;0;NA;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 I"
4;"1";"A00_R2";"H";11;"K";"Ancestral";"Ancestral";"Androdioecious";"3";2090;2090;NA;233,2;1166;5;0;0;0;0;0;5;0;233,2;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 K"
4;"1";"A00_R2";"H";11;"K";"Ancestral";"Ancestral";"Androdioecious";"4";2090;2090;NA;184,8;924;5;0;0;0;0;0;5;0;184,8;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R2 1 K"
